Stock,Weight,Sector
TCS.NS,2.8256138928834284e-16,Technology
INFY.NS,1.888633704520188e-16,Technology
WIPRO.NS,7.680974842063197e-17,Technology
HCLTECH.NS,0.2584354798604536,Technology
HDFCBANK.NS,7.765290268975344e-18,Banking
ICICIBANK.NS,0.3084098555372486,Banking
SBIN.NS,0.0,Banking
AXISBANK.NS,1.211766700470116e-17,Banking
RELIANCE.NS,1.1393066411041752e-17,Energy
ONGC.NS,8.79019236127878e-17,Energy
POWERGRID.NS,0.1469357375523505,Energy
NTPC.NS,0.18621892704994777,Energy
HINDUNILVR.NS,5.2152304952921815e-17,Consumer
ITC.NS,3.518140025199286e-17,Consumer
NESTLEIND.NS,7.091786768061984e-17,Consumer
BRITANNIA.NS,0.10000000000000017,Consumer
